ID_DIRECCION,ID_TIPO_VIA,NOMBRE_VIA_DIRECCION,ID_PREFIJO_1_1,NUMERO_VIA_GENERADORA_DIRECCION,ID_PREFIJO_1_2,NUMERO_PLACA_DIRECCION,DATO_COMPLEMENTARIO_DIRECCION,ID_CONTRATO,ID_CIUDAD,ID_DEPARTAMENTO,LONGITUD_DIRECCION,LATITUD_DIRECCION,ID_PREFIJO_2_1,ID_PREFIJO_2_2,ESTRATO,ID_COMPLEMENTO,DIRECCION_COMPLETA,DEPARTAMENTO,CIUDAD
84281,CL,37,B,27,S,71,,NULL,05266,05,0,0,A,NULL,NULL,NULL,"CALLE 37 B S 27 A 71 ",ANTIOQUIA,ENVIGADO
84282,KR,50,NULL,90,NULL,280,,NULL,05380,05,0,0,S,NULL,NULL,NULL,"CARRERA 50 90 S 280 ",ANTIOQUIA,LA ESTRELLA
84283,KR,40,B,17,NULL,188,,NULL,05001,05,0,0,NULL,NULL,NULL,NULL,"CARRERA 40 B 17 188 ",ANTIOQUIA,MEDELLÍN
84284,KR,75,D,2,A,320,,NULL,05001,05,0,0,B,S,NULL,NULL,"CARRERA 75 D A 2 B S 320 ",ANTIOQUIA,MEDELLÍN
84285,KR,54,A,29,NULL,64,,NULL,05001,05,0,0,C,NULL,NULL,NULL,"CARRERA 54 A 29 C 64 ",ANTIOQUIA,MEDELLÍN
84286,KR,49,NULL,60,NULL,14,,NULL,05631,05,0,0,A,S,NULL,NULL,"CARRERA 49 60 A S 14 ",ANTIOQUIA,SABANETA
84287,CL,24,NULL,18,NULL,42,,NULL,05001,05,0,0,NULL,NULL,NULL,NULL,"CALLE 24 18 42 ",ANTIOQUIA,MEDELLÍN
84288,CL,3,NULL,29,NULL,97,,NULL,05001,05,0,0,A,NULL,NULL,NULL,"CALLE 3 29 A 97 ",ANTIOQUIA,MEDELLÍN
84289,VI,VEREDA HOJAS ANCHAS,NULL,0,NULL,0,,NULL,05001,05,0,0,NULL,NULL,NULL,NULL,NULL,ANTIOQUIA,MEDELLÍN
84290,CL,46,S,46,NULL,100,,NULL,05266,05,0,0,C,NULL,NULL,NULL,"CALLE 46 S 46 C 100 ",ANTIOQUIA,ENVIGADO
84291,TV,39,NULL,76,NULL,41,,NULL,05001,05,0,0,NULL,NULL,NULL,NULL,"TRANSVERSAL 39 76 41 ",ANTIOQUIA,MEDELLÍN
84292,KR,76,NULL,53,NULL,90,,NULL,05001,05,0,0,NULL,NULL,NULL,NULL,"CARRERA 76 53 90 ",ANTIOQUIA,MEDELLÍN
84293,CL,16,S,21,NULL,89,UNIDAD RECIDENCIAL POBLADO SANLORENZO,NULL,05001,05,0,0,NULL,NULL,NULL,CRS,CALLE 16 S 21 89 CONJUNTO RESIDENCIAL UNIDAD RECIDENCIAL POBLADO SANLORENZO,ANTIOQUIA,MEDELLÍN
84294,KM,69 VIA MEDELLIN,NULL,0,NULL,0,CEMENTOS ARGOS,NULL,05679,05,0,0,NULL,NULL,NULL,LT,KILÓMETRO 69 VIA MEDELLIN 0 0 LOTE CEMENTOS ARGOS,ANTIOQUIA,SANTA BÁRBARA
84295,CL,18,S,35,NULL,56,,NULL,05001,05,0,0,NULL,NULL,NULL,NULL,"CALLE 18 S 35 56 ",ANTIOQUIA,MEDELLÍN
84296,KR,34,NULL,40,NULL,39,,NULL,05266,05,0,0,D,S,NULL,NULL,"CARRERA 34 40 D S 39 ",ANTIOQUIA,ENVIGADO
84297,CL,35,NULL,41,S,51,SEDE DE SERVICIO  COMFAMA  ENVIGADO,NULL,05266,05,0,0,NULL,NULL,NULL,ED,CALLE 35 S 41 51 EDIFICIO SEDE DE SERVICIO COMFAMA ENVIGADO,ANTIOQUIA,ENVIGADO
84298,CL,10,NULL,30,NULL,30,,NULL,05001,05,0,0,NULL,NULL,NULL,NULL,"CALLE 10 30 30 ",ANTIOQUIA,MEDELLÍN
84299,KR,45,F,40,NULL,7,,NULL,05266,05,0,0,S,NULL,NULL,NULL,"CARRERA 45 F 40 S 7 ",ANTIOQUIA,ENVIGADO
84300,CL,74,NULL,73,NULL,13,,NULL,05001,05,0,0,NULL,NULL,NULL,NULL,"CALLE 74 73 13 ",ANTIOQUIA,MEDELLÍN
